epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6224,1.04453,2.71826,1.16332,0.52696,0.3286,0.3475,0.27636,0.85583,1.5585,1.03866,0.0668507,3.31825e-05,3.31825e-05
2,52.1595,0.84465,1.35598,1.03578,0.61187,0.4523,0.5041,0.39811,0.72958,1.11974,0.96364,0.033544,5.98649e-05,5.98649e-05
3,76.6744,0.7818,1.09402,0.99538,0.71955,0.53667,0.59354,0.48031,0.6525,0.86133,0.9249,0.000230711,7.98813e-05,7.98813e-05
4,101.881,0.71645,0.89145,0.96817,0.75004,0.53247,0.60128,0.48739,0.63297,0.86345,0.90527,7.0003e-05,7.0003e-05,7.0003e-05
5,126.701,0.68718,0.83686,0.94576,0.79317,0.56311,0.63637,0.52092,0.59737,0.74119,0.89051,6.0004e-05,6.0004e-05,6.0004e-05
6,151.581,0.66146,0.76846,0.93059,0.79965,0.58326,0.64854,0.52912,0.58345,0.71683,0.88556,5.0005e-05,5.0005e-05,5.0005e-05
7,177.038,0.64626,0.7218,0.92528,0.82224,0.5811,0.66847,0.54466,0.57408,0.67392,0.87925,4.0006e-05,4.0006e-05,4.0006e-05
8,201.644,0.62386,0.66982,0.91137,0.81162,0.61538,0.6787,0.55103,0.55386,0.65591,0.87108,3.0007e-05,3.0007e-05,3.0007e-05
9,227.72,0.61182,0.64822,0.91273,0.81179,0.60613,0.67878,0.55058,0.55159,0.64871,0.86629,2.0008e-05,2.0008e-05,2.0008e-05
10,252.715,0.6007,0.61526,0.89811,0.80854,0.61211,0.67903,0.55625,0.53857,0.62588,0.86264,1.0009e-05,1.0009e-05,1.0009e-05
